MovieOrTVID,Type,Name,ParentalGuidence,Metascore,Popularity,Description,Language,OriginCountry,Budget,NoOfWeeksRunning,DomesticCollection,GrossCollection,Image,Trailer
31,TV,Sherlock,PG-12,N/A,54,Harry ignores warnings not to return to Hogwarts; only to find the school plagued by a series of mysterious attacks and a strange voice haunting him.,English,Australia,"28,000,000",55,"303,003,568","1,017,003,568",,
32,TV,The World at War,PG-13,N/A,35,Based on true events; this film recounts the story of Bobby Frank Cherry (Richard Jenkins); who participated in the infamous 1963 bombing of a Birmingham; Ala.; church that left four black ...,English,China,"29,000,000",56,"241,063,875","1,045,663,875",,
33,TV,Life,PG-14,76,44,A professional athlete has to help a U.S. government agent recover a missing jet.,English,USA,"30,000,000",57,"258,366,855","960,366,855",,
34,TV,The Civil War,PG-12,51,52,A journalist must investigate a mysterious videotape which seems to cause the death of anyone in a week of viewing it.,English,Japan,"31,000,000",58,"255,119,788","955,119,788",,
35,TV,Avatar: The Last Airbender,PG-13,40,28,When Alexis came back at home that night; a phone message was waiting for him...,English,UK,"32,000,000",59,"459,005,868","1,404,705,868",,
36,TV,Westworld,PG-14,61,35,Recreation of the landmark 1958 South Australian Court trial of young aboriginal Max Stuart.,English,Germany,"33,000,000",60,"330,360,194","868,160,194",,
37,TV,Last Week Tonight with John Oliver,PG-12,N/A,45,A young man is surprised by what he discovers in his first trip to the baths.,English,India,"34,000,000",61,"408,084,349","1,151,684,349",,
38,TV,Firefly,PG-13,51,39,"An observation documentary following the Australian film director; Baz Luhrmann as he travels around the world promoting his film; ""Moulin Rouge""",English,France,"35,000,000",62,"200,120,000","374,085,065",,
39,TV,Human Planet,PG-14,N/A,67,Daphne and her four children try to cope with the abrupt death of husband/father. As the family seems to fall apart; a sudden incident gives them a chance to heal their 'broken wings'.,English,Australia,"36,000,000",63,"169,368,427","591,692,078",,
40,TV,True Detective,PG-14,78,55,In the future; overpopulation; polution; bio-chemical warfare; and other factors have destroyed most of the planet. The people who have survived now live in small colonies in abandoned ...,English,China,"37,000,000",64,"623,279,547","1,519,479,547",,
